"Hurricane","Hurricane"
"Hypnotic Specter","Hypnotic Specter"
"Ice Storm","Ice Storm"
"Icy Manipulator","Icy Manipulator"
"Illusionary Mask","Illusionary Mask"
"Instill Energy","Instill Energy"
"Invisibility","Invisibility"
"Iron Star","Iron Star"
"Ironclaw Orcs","Ironclaw Orcs"
"Ironroot Treefolk","Ironroot Treefolk"
"Island","Island"
"Island Sanctuary","Island Sanctuary"
"Ivory Cup","Ivory Cup"
"Jade Monolith","Jade Monolith"
"Jade Statue","Jade Statue"
"Jayemdae Tome","Jayemdae Tome"
"Juggernaut","Juggernaut"
"Jump","Jump"
"Karma","Karma"
"Keldon Warlord","Keldon Warlord"
"Kormus Bell","Kormus Bell"
"Kudzu","Kudzu"
"Lance","Lance"
"Ley Druid","Ley Druid"
"Library of Leng","Library of Leng"
"Lich","Lich"
"Lifeforce","Lifeforce"
"Lifelace","Lifelace"
"Lifetap","Lifetap"
"Lightning Bolt","Lightning Bolt"
"Living Artifact","Living Artifact"
"Living Lands","Living Lands"
"Living Wall","Living Wall"
"Llanowar Elves","Llanowar Elves"
"Lord of Atlantis","Lord of Atlantis"
"Lord of the Pit","Lord of the Pit"
"Lure","Lure"
"Magical Hack","Magical Hack"
"Mahamoti Djinn","Mahamoti Djinn"
"Mana Flare","Mana Flare"
"Mana Short","Mana Short"
"Mana Vault","Mana Vault"
"Manabarbs","Manabarbs"
"Meekstone","Meekstone"
"Merfolk of the Pearl Trident","Merfolk of the Pearl Trident"
"Mesa Pegasus","Mesa Pegasus"
"Mind Twist","Mind Twist"
"Mons's Goblin Raiders","Mons's Goblin Raiders"
"Mountain","Mountain"
"Mox Emerald","Mox Emerald"
"Mox Jet","Mox Jet"
"Mox Pearl","Mox Pearl"
"Mox Ruby","Mox Ruby"
"Mox Sapphire","Mox Sapphire"
"Natural Selection","Natural Selection"
"Nether Shadow","Nether Shadow"
"Nettling Imp","Nettling Imp"
"Nevinyrral's Disk","Nevinyrral's Disk"
"Nightmare","Nightmare"
"Northern Paladin","Northern Paladin"
"Obsianus Golem","Obsianus Golem"
"Orcish Artillery","Orcish Artillery"
"Orcish Oriflamme","Orcish Oriflamme"
"Paralyze","Paralyze"
"Pearled Unicorn","Pearled Unicorn"
"Personal Incarnation","Personal Incarnation"
"Pestilence","Pestilence"
"Phantasmal Forces","Phantasmal Forces"
"Phantasmal Terrain","Phantasmal Terrain"
"Phantom Monster","Phantom Monster"
"Pirate Ship","Pirate Ship"
"Plague Rats","Plague Rats"
"Plains","Plains"
"Plateau","Plateau"
"Power Leak","Power Leak"
"Power Sink","Power Sink"
"Power Surge","Power Surge"
"Prodigal Sorcerer","Prodigal Sorcerer"
"Psionic Blast","Psionic Blast"
"Psychic Venom","Psychic Venom"
"Purelace","Purelace"
"Raging River","Raging River"
"Raise Dead","Raise Dead"
"Red Elemental Blast","Red Elemental Blast"
"Red Ward","Red Ward"
"Regeneration","Regeneration"
"Regrowth","Regrowth"
"Resurrection","Resurrection"
"Reverse Damage","Reverse Damage"
"Righteousness","Righteousness"
"Roc of Kher Ridges","Roc of Kher Ridges"
"Rock Hydra","Rock Hydra"
"Rod of Ruin","Rod of Ruin"
"Royal Assassin","Royal Assassin"
"Sacrifice","Sacrifice"
"Samite Healer","Samite Healer"
"Savannah","Savannah"
"Savannah Lions","Savannah Lions"
"Scathe Zombies","Scathe Zombies"
"Scavenging Ghoul","Scavenging Ghoul"
"Scrubland","Scrubland"
"Scryb Sprites","Scryb Sprites"
"Sea Serpent","Sea Serpent"
"Sedge Troll","Sedge Troll"
"Sengir Vampire","Sengir Vampire"
"Serra Angel","Serra Angel"
"Shanodin Dryads","Shanodin Dryads"
"Shatter","Shatter"
"Shivan Dragon","Shivan Dragon"
"Simulacrum","Simulacrum"
"Sinkhole","Sinkhole"
"Siren's Call","Siren's Call"
"Sleight of Mind","Sleight of Mind"
"Smoke","Smoke"
"Sol Ring","Sol Ring"
"Soul Net","Soul Net"
"Spell Blast","Spell Blast"
"Stasis","Stasis"
"Steal Artifact","Steal Artifact"
"Stone Giant","Stone Giant"
"Stone Rain","Stone Rain"
"Stream of Life","Stream of Life"
"Sunglasses of Urza","Sunglasses of Urza"
"Swamp","Swamp"
"Swords to Plowshares","Swords to Plowshares"
"Taiga","Taiga"
"Terror","Terror"
"The Hive","The Hive"
"Thicket Basilisk","Thicket Basilisk"
"Thoughtlace","Thoughtlace"
"Throne of Bone","Throne of Bone"
"Timber Wolves","Timber Wolves"
"Time Vault","Time Vault"
"Time Walk","Time Walk"
"Timetwister","Timetwister"
"Tranquility","Tranquility"
"Tropical Island","Tropical Island"
"Tsunami","Tsunami"
"Tundra","Tundra"
"Tunnel","Tunnel"
"Twiddle","Twiddle"
"Two-Headed Giant of Foriys","Two-Headed Giant of Foriys"
"Underground Sea","Underground Sea"
"Unholy Strength","Unholy Strength"
"Unsummon","Unsummon"
"Uthden Troll","Uthden Troll"
"Verduran Enchantress","Verduran Enchantress"
"Vesuvan Doppelganger","Vesuvan Doppelganger"
"Veteran Bodyguard","Veteran Bodyguard"
"Volcanic Eruption","Volcanic Eruption"
"Wall of Air","Wall of Air"
"Wall of Bone","Wall of Bone"
"Wall of Brambles","Wall of Brambles"
"Wall of Fire","Wall of Fire"
"Wall of Ice","Wall of Ice"
"Wall of Stone","Wall of Stone"
"Wall of Swords","Wall of Swords"
"Wall of Water","Wall of Water"
"Wall of Wood","Wall of Wood"
"Wanderlust","Wanderlust"
"War Mammoth","War Mammoth"
"Warp Artifact","Warp Artifact"
"Water Elemental","Water Elemental"
"Weakness","Weakness"
"Web","Web"
"Wheel of Fortune","Wheel of Fortune"
"White Knight","White Knight"
"White Ward","White Ward"
"Wild Growth","Wild Growth"
"Will-o'-the-Wisp","Will-o'-the-Wisp"
"Winter Orb","Winter Orb"
"Wooden Sphere","Wooden Sphere"
"Word of Command","Word of Command"
"Wrath of God","Wrath of God"
"Zombie Master","Zombie Master"
"Circle of Protection: Black","Circle of Protection: Black"
"Volcanic Island","Volcanic Island"
"Abu Ja'far","Abu Ja'far"
"Aladdin","Aladdin"
"Aladdin's Lamp","Aladdin's Lamp"
"Aladdin's Ring","Aladdin's Ring"
"Ali Baba","Ali Baba"
"Ali from Cairo","Ali from Cairo"
"Army of Allah","Army of Allah"
"Bazaar of Baghdad","Bazaar of Baghdad"
"Bird Maiden","Bird Maiden"
"Bottle of Suleiman","Bottle of Suleiman"
"Brass Man","Brass Man"
"Camel","Camel"
"City in a Bottle","City in a Bottle"
"City of Brass","City of Brass"
"Cuombajj Witches","Cuombajj Witches"
"Cyclone","Cyclone"
"Dancing Scimitar","Dancing Scimitar"
"Dandân","Dandân"
"Desert","Desert"
"Desert Nomads","Desert Nomads"
"Desert Twister","Desert Twister"
"Diamond Valley","Diamond Valley"
"Drop of Honey","Drop of Honey"
"Ebony Horse","Ebony Horse"
"El-Hajjâj","El-Hajjâj"
"Elephant Graveyard","Elephant Graveyard"
"Erg Raiders","Erg Raiders"
"Erhnam Djinn","Erhnam Djinn"
"Eye for an Eye","Eye for an Eye"
"Fishliver Oil","Fishliver Oil"
"Flying Carpet","Flying Carpet"
"Flying Men","Flying Men"
"Ghazbán Ogre","Ghazbán Ogre"
"Giant Tortoise","Giant Tortoise"
"Guardian Beast","Guardian Beast"
"Hasran Ogress","Hasran Ogress"
"Hurr Jackal","Hurr Jackal"
"Ifh-Bíff Efreet","Ifh-Bíff Efreet"
"Island Fish Jasconius","Island Fish Jasconius"
"Island of Wak-Wak","Island of Wak-Wak"
"Jandor's Ring","Jandor's Ring"
"Jandor's Saddlebags","Jandor's Saddlebags"
"Jeweled Bird","Jeweled Bird"
"Jihad","Jihad"
"Junún Efreet","Junún Efreet"
"Juzám Djinn","Juzám Djinn"
"Khabál Ghoul","Khabál Ghoul"
"King Suleiman","King Suleiman"
"Kird Ape","Kird Ape"
"Library of Alexandria","Library of Alexandria"
"Magnetic Mountain","Magnetic Mountain"
"Merchant Ship","Merchant Ship"
"Metamorphosis","Metamorphosis"
"Mijae Djinn","Mijae Djinn"
"Moorish Cavalry","Moorish Cavalry"
"Nafs Asp","Nafs Asp"
"Oasis","Oasis"
"Old Man of the Sea","Old Man of the Sea"
"Oubliette","Oubliette"
"Piety","Piety"
"Pyramids","Pyramids"
"Repentant Blacksmith","Repentant Blacksmith"
"Ring of Ma'rûf","Ring of Ma'rûf"
"Rukh Egg","Rukh Egg"
"Sandals of Abdallah","Sandals of Abdallah"
"Sandstorm","Sandstorm"
"Serendib Djinn","Serendib Djinn"
"Serendib Efreet","Serendib Efreet"
"Shahrazad","Shahrazad"
"Sindbad","Sindbad"
"Singing Tree","Singing Tree"
"Sorceress Queen","Sorceress Queen"
"Stone-Throwing Devils","Stone-Throwing Devils"
"Unstable Mutation","Unstable Mutation"
"War Elephant","War Elephant"
"Wyluli Wolf","Wyluli Wolf"
"Ydwen Efreet","Ydwen Efreet"
"Nalathni Dragon","Nalathni Dragon"
"Amulet of Kroog","Amulet of Kroog"
"Argivian Archaeologist","Argivian Archaeologist"
"Argivian Blacksmith","Argivian Blacksmith"
"Argothian Pixies","Argothian Pixies"
"Argothian Treefolk","Argothian Treefolk"
"Armageddon Clock","Armageddon Clock"
"Artifact Blast","Artifact Blast"
"Artifact Possession","Artifact Possession"
"Artifact Ward","Artifact Ward"
"Ashnod's Altar","Ashnod's Altar"
"Ashnod's Battle Gear","Ashnod's Battle Gear"
"Ashnod's Transmogrant","Ashnod's Transmogrant"
"Atog","Atog"
"Battering Ram","Battering Ram"
"Bronze Tablet","Bronze Tablet"
"Candelabra of Tawnos","Candelabra of Tawnos"
"Circle of Protection: Artifacts","Circle of Protection: Artifacts"
"Citanul Druid","Citanul Druid"
"Clay Statue","Clay Statue"
"Clockwork Avian","Clockwork Avian"
"Colossus of Sardia","Colossus of Sardia"
"Coral Helm","Coral Helm"
"Crumble","Crumble"
"Cursed Rack","Cursed Rack"
"Damping Field","Damping Field"
"Detonate","Detonate"
"Drafna's Restoration","Drafna's Restoration"
"Dragon Engine","Dragon Engine"
"Dwarven Weaponsmith","Dwarven Weaponsmith"
"Energy Flux","Energy Flux"
"Feldon's Cane","Feldon's Cane"
"Gaea's Avenger","Gaea's Avenger"
"Gate to Phyrexia","Gate to Phyrexia"
"Goblin Artisans","Goblin Artisans"
"Golgothian Sylex","Golgothian Sylex"
"Grapeshot Catapult","Grapeshot Catapult"
"Haunting Wind","Haunting Wind"
"Hurkyl's Recall","Hurkyl's Recall"
"Ivory Tower","Ivory Tower"
"Jalum Tome","Jalum Tome"
"Martyrs of Korlis","Martyrs of Korlis"
"Mightstone","Mightstone"
"Millstone","Millstone"
"Mishra's Factory","Mishra's Factory"
"Mishra's War Machine","Mishra's War Machine"
"Mishra's Workshop","Mishra's Workshop"
"Obelisk of Undoing","Obelisk of Undoing"
"Onulet","Onulet"
"Orcish Mechanics","Orcish Mechanics"
"Ornithopter","Ornithopter"
"Phyrexian Gremlins","Phyrexian Gremlins"
"Power Artifact","Power Artifact"
"Powerleech","Powerleech"
"Priest of Yawgmoth","Priest of Yawgmoth"
"Primal Clay","Primal Clay"
"Rakalite","Rakalite"
"Reconstruction","Reconstruction"
"Reverse Polarity","Reverse Polarity"
"Rocket Launcher","Rocket Launcher"
"Sage of Lat-Nam","Sage of Lat-Nam"
"Shapeshifter","Shapeshifter"
"Shatterstorm","Shatterstorm"
"Staff of Zegon","Staff of Zegon"
"Strip Mine","Strip Mine"
"Su-Chi","Su-Chi"
"Tablet of Epityr","Tablet of Epityr"
"Tawnos's Coffin","Tawnos's Coffin"
"Tawnos's Wand","Tawnos's Wand"
"Tawnos's Weaponry","Tawnos's Weaponry"
"Tetravus","Tetravus"
"The Rack","The Rack"
"Titania's Song","Titania's Song"
"Transmute Artifact","Transmute Artifact"
"Triskelion","Triskelion"
"Urza's Avenger","Urza's Avenger"
"Urza's Chalice","Urza's Chalice"
"Urza's Mine","Urza's Mine"
"Urza's Miter","Urza's Miter"
"Urza's Power Plant","Urza's Power Plant"
"Urza's Tower","Urza's Tower"
"Wall of Spears","Wall of Spears"
"Weakstone","Weakstone"
"Xenic Poltergeist","Xenic Poltergeist"
"Yawgmoth Demon","Yawgmoth Demon"
"Yotian Soldier","Yotian Soldier"
"Abomination","Abomination"
"Acid Rain","Acid Rain"
"Active Volcano","Active Volcano"
"Adun Oakenshield","Adun Oakenshield"
"Adventurers' Guildhouse","Adventurers' Guildhouse"
"Aerathi Berserker","Aerathi Berserker"
"Aisling Leprechaun","Aisling Leprechaun"
"Akron Legionnaire","Akron Legionnaire"
"Al-abara's Carpet","Al-abara's Carpet"
"Alabaster Potion","Alabaster Potion"
"Alchor's Tomb","Alchor's Tomb"
"All Hallow's Eve","All Hallow's Eve"
"Amrou Kithkin","Amrou Kithkin"
"Angelic Voices","Angelic Voices"
"Angus Mackenzie","Angus Mackenzie"
"Anti-Magic Aura","Anti-Magic Aura"
"Arboria","Arboria"
"Arcades Sabboth","Arcades Sabboth"
"Arena of the Ancients","Arena of the Ancients"
"Avoid Fate","Avoid Fate"
"Axelrod Gunnarson","Axelrod Gunnarson"
"Ayesha Tanaka","Ayesha Tanaka"
"Azure Drake","Azure Drake"
"Backdraft","Backdraft"
"Backfire","Backfire"
"Barbary Apes","Barbary Apes"
"Barktooth Warbeard","Barktooth Warbeard"
"Bartel Runeaxe","Bartel Runeaxe"
"Beasts of Bogardan","Beasts of Bogardan"
"Black Mana Battery","Black Mana Battery"
"Blazing Effigy","Blazing Effigy"
"Blight","Blight"
"Blood Lust","Blood Lust"
"Blue Mana Battery","Blue Mana Battery"
"Boomerang","Boomerang"
"Boris Devilboon","Boris Devilboon"
"Brine Hag","Brine Hag"
"Bronze Horse","Bronze Horse"
"Carrion Ants","Carrion Ants"
"Cat Warriors","Cat Warriors"
"Cathedral of Serra","Cathedral of Serra"
"Caverns of Despair","Caverns of Despair"
"Chain Lightning","Chain Lightning"
"Chains of Mephistopheles","Chains of Mephistopheles"
"Chromium","Chromium"
"Cleanse","Cleanse"
"Clergy of the Holy Nimbus","Clergy of the Holy Nimbus"
"Cocoon","Cocoon"
"Concordant Crossroads","Concordant Crossroads"
"Cosmic Horror","Cosmic Horror"
"Craw Giant","Craw Giant"
"Crevasse","Crevasse"
"Crimson Kobolds","Crimson Kobolds"
"Crimson Manticore","Crimson Manticore"
"Crookshank Kobolds","Crookshank Kobolds"
"Cyclopean Mummy","Cyclopean Mummy"
"D'Avenant Archer","D'Avenant Archer"
"Dakkon Blackblade","Dakkon Blackblade"
"Darkness","Darkness"
"Deadfall","Deadfall"
"Demonic Torment","Demonic Torment"
"Devouring Deep","Devouring Deep"
"Disharmony","Disharmony"
"Divine Intervention","Divine Intervention"
"Divine Offering","Divine Offering"
"Divine Transformation","Divine Transformation"
"Dream Coat","Dream Coat"
"Durkwood Boars","Durkwood Boars"
"Dwarven Song","Dwarven Song"
"Elder Land Wurm","Elder Land Wurm"
"Elder Spawn","Elder Spawn"
"Elven Riders","Elven Riders"
"Emerald Dragonfly","Emerald Dragonfly"
"Enchanted Being","Enchanted Being"
"Enchantment Alteration","Enchantment Alteration"
"Energy Tap","Energy Tap"
"Equinox","Equinox"
"Eternal Warrior","Eternal Warrior"
"Eureka","Eureka"
"Evil Eye of Orms-by-Gore","Evil Eye of Orms-by-Gore"
"Fallen Angel","Fallen Angel"
"Falling Star","Falling Star"
"Feint","Feint"
"Field of Dreams","Field of Dreams"
"Fire Sprites","Fire Sprites"
"Firestorm Phoenix","Firestorm Phoenix"
"Flash Counter","Flash Counter"
"Flash Flood","Flash Flood"
"Floral Spuzzem","Floral Spuzzem"
"Force Spike","Force Spike"
"Forethought Amulet","Forethought Amulet"
"Fortified Area","Fortified Area"
"Frost Giant","Frost Giant"
"Gabriel Angelfire","Gabriel Angelfire"
"Gaseous Form","Gaseous Form"
"Gauntlets of Chaos","Gauntlets of Chaos"
"Ghosts of the Damned","Ghosts of the Damned"
"Giant Slug","Giant Slug"
"Giant Strength","Giant Strength"
"Giant Turtle","Giant Turtle"
"Glyph of Delusion","Glyph of Delusion"
"Glyph of Destruction","Glyph of Destruction"
"Glyph of Doom","Glyph of Doom"
"Glyph of Life","Glyph of Life"
"Glyph of Reincarnation","Glyph of Reincarnation"
"Gosta Dirk","Gosta Dirk"
"Gravity Sphere","Gravity Sphere"
"Great Defender","Great Defender"
"Great Wall","Great Wall"
"Greater Realm of Preservation","Greater Realm of Preservation"
"Greed","Greed"
"Green Mana Battery","Green Mana Battery"
"Gwendlyn Di Corci","Gwendlyn Di Corci"
"Halfdane","Halfdane"
"Hammerheim","Hammerheim"
"Hazezon Tamar","Hazezon Tamar"
"Headless Horseman","Headless Horseman"
"Heaven's Gate","Heaven's Gate"
"Hell Swarm","Hell Swarm"
"Hell's Caretaker","Hell's Caretaker"
"Hellfire","Hellfire"
"Holy Day","Holy Day"
"Horn of Deafening","Horn of Deafening"
"Hornet Cobra","Hornet Cobra"
"Horror of Horrors","Horror of Horrors"
"Hunding Gjornersen","Hunding Gjornersen"
"Hyperion Blacksmith","Hyperion Blacksmith"
"Ichneumon Druid","Ichneumon Druid"
"Immolation","Immolation"
"Imprison","Imprison"
"In the Eye of Chaos","In the Eye of Chaos"
"Indestructible Aura","Indestructible Aura"
"Infernal Medusa","Infernal Medusa"
"Infinite Authority","Infinite Authority"
"Invoke Prejudice","Invoke Prejudice"
"Ivory Guardians","Ivory Guardians"
"Jacques le Vert","Jacques le Vert"
"Jasmine Boreal","Jasmine Boreal"
"Jedit Ojanen","Jedit Ojanen"
"Jerrard of the Closed Fist","Jerrard of the Closed Fist"
"Johan","Johan"
"Jovial Evil","Jovial Evil"
"Juxtapose","Juxtapose"
"Karakas","Karakas"
"Kasimir the Lone Wolf","Kasimir the Lone Wolf"
"Keepers of the Faith","Keepers of the Faith"
"Kei Takahashi","Kei Takahashi"
"Killer Bees","Killer Bees"
"Kismet","Kismet"
"Knowledge Vault","Knowledge Vault"
"Kobold Drill Sergeant","Kobold Drill Sergeant"
"Kobold Overlord","Kobold Overlord"
"Kobold Taskmaster","Kobold Taskmaster"
"Kobolds of Kher Keep","Kobolds of Kher Keep"
"Kry Shield","Kry Shield"
"Lady Caleria","Lady Caleria"
"Lady Evangela","Lady Evangela"
"Lady Orca","Lady Orca"
"Land Equilibrium","Land Equilibrium"
"Land Tax","Land Tax"
"Land's Edge","Land's Edge"
"Lesser Werewolf","Lesser Werewolf"
"Life Chisel","Life Chisel"
"Life Matrix","Life Matrix"
"Lifeblood","Lifeblood"
"Living Plane","Living Plane"
"Livonya Silone","Livonya Silone"
"Lord Magnus","Lord Magnus"
"Lost Soul","Lost Soul"
"Mana Drain","Mana Drain"
"Mana Matrix","Mana Matrix"
"Marble Priest","Marble Priest"
"Marhault Elsdragon","Marhault Elsdragon"
"Master of the Hunt","Master of the Hunt"
"Mirror Universe","Mirror Universe"
"Moat","Moat"
"Mold Demon","Mold Demon"
"Moss Monster","Moss Monster"
"Mountain Stronghold","Mountain Stronghold"
"Mountain Yeti","Mountain Yeti"
"Nebuchadnezzar","Nebuchadnezzar"
"Nether Void","Nether Void"
"Nicol Bolas","Nicol Bolas"
"North Star","North Star"
"Nova Pentacle","Nova Pentacle"
"Osai Vultures","Osai Vultures"
"Palladia-Mors","Palladia-Mors"
"Part Water","Part Water"
"Pavel Maliki","Pavel Maliki"
"Pendelhaven","Pendelhaven"
"Petra Sphinx","Petra Sphinx"
"Pit Scorpion","Pit Scorpion"
"Pixie Queen","Pixie Queen"
"Planar Gate","Planar Gate"
"Pradesh Gypsies","Pradesh Gypsies"
"Presence of the Master","Presence of the Master"
"Primordial Ooze","Primordial Ooze"
"Princess Lucrezia","Princess Lucrezia"
"Psionic Entity","Psionic Entity"
"Psychic Purge","Psychic Purge"
"Puppet Master","Puppet Master"
"Pyrotechnics","Pyrotechnics"
"Quagmire","Quagmire"
"Quarum Trench Gnomes","Quarum Trench Gnomes"
"Rabid Wombat","Rabid Wombat"
"Radjan Spirit","Radjan Spirit"
"Raging Bull","Raging Bull"
"Ragnar","Ragnar"
"Ramirez DePietro","Ramirez DePietro"
"Ramses Overdark","Ramses Overdark"
"Rapid Fire","Rapid Fire"
"Rasputin Dreamweaver","Rasputin Dreamweaver"
"Rebirth","Rebirth"
"Recall","Recall"
"Red Mana Battery","Red Mana Battery"
"Reincarnation","Reincarnation"
"Relic Barrier","Relic Barrier"
"Relic Bind","Relic Bind"
"Remove Enchantments","Remove Enchantments"
"Remove Soul","Remove Soul"
"Reset","Reset"
"Revelation","Revelation"
"Reverberation","Reverberation"
"Righteous Avengers","Righteous Avengers"
"Ring of Immortals","Ring of Immortals"
"Riven Turnbull","Riven Turnbull"
"Rohgahh of Kher Keep","Rohgahh of Kher Keep"
"Rubinia Soulsinger","Rubinia Soulsinger"
"Rust","Rust"
"Sea Kings' Blessing","Sea Kings' Blessing"
"Seafarer's Quay","Seafarer's Quay"
"Seeker","Seeker"
"Segovian Leviathan","Segovian Leviathan"
"Sentinel","Sentinel"
"Serpent Generator","Serpent Generator"
"Shelkin Brownie","Shelkin Brownie"
"Shield Wall","Shield Wall"
"Shimian Night Stalker","Shimian Night Stalker"
"Silhouette","Silhouette"
"Sir Shandlar of Eberyn","Sir Shandlar of Eberyn"
"Sivitri Scarzam","Sivitri Scarzam"
"Sol'kanar the Swamp King","Sol'kanar the Swamp King"
"Spectral Cloak","Spectral Cloak"
"Spinal Villain","Spinal Villain"
"Spirit Link","Spirit Link"
"Spirit Shackle","Spirit Shackle"
"Spiritual Sanctuary","Spiritual Sanctuary"
"Stangg","Stangg"
"Storm Seeker","Storm Seeker"
"Storm World","Storm World"
"Subdue","Subdue"
"Sunastian Falconer","Sunastian Falconer"
"Sword of the Ages","Sword of the Ages"
"Sylvan Library","Sylvan Library"
"Sylvan Paradise","Sylvan Paradise"
"Syphon Soul","Syphon Soul"
"Takklemaggot","Takklemaggot"
"Telekinesis","Telekinesis"
"Teleport","Teleport"
"Tempest Efreet","Tempest Efreet"
"Tetsuo Umezawa","Tetsuo Umezawa"
"The Abyss","The Abyss"
"The Brute","The Brute"
"The Lady of the Mountain","The Lady of the Mountain"
"The Tabernacle at Pendrell Vale","The Tabernacle at Pendrell Vale"
"The Wretched","The Wretched"
"Thunder Spirit","Thunder Spirit"
"Time Elemental","Time Elemental"
"Tobias Andrion","Tobias Andrion"
"Tolaria","Tolaria"
"Tor Wauki","Tor Wauki"
"Torsten Von Ursus","Torsten Von Ursus"
"Touch of Darkness","Touch of Darkness"
"Transmutation","Transmutation"
"Triassic Egg","Triassic Egg"
"Tuknir Deathlock","Tuknir Deathlock"
"Tundra Wolves","Tundra Wolves"
"Typhoon","Typhoon"
"Undertow","Undertow"
"Underworld Dreams","Underworld Dreams"
"Unholy Citadel","Unholy Citadel"
"Untamed Wilds","Untamed Wilds"
"Ur-Drago","Ur-Drago"
"Urborg","Urborg"
"Vaevictis Asmadi","Vaevictis Asmadi"
"Vampire Bats","Vampire Bats"
"Venarian Gold","Venarian Gold"
"Visions","Visions"
"Voodoo Doll","Voodoo Doll"
"Walking Dead","Walking Dead"
"Wall of Caltrops","Wall of Caltrops"
"Wall of Dust","Wall of Dust"
"Wall of Earth","Wall of Earth"
"Wall of Heat","Wall of Heat"
"Wall of Light","Wall of Light"
"Wall of Opposition","Wall of Opposition"
"Wall of Putrid Flesh","Wall of Putrid Flesh"
"Wall of Shadows","Wall of Shadows"
"Wall of Tombstones","Wall of Tombstones"
"Wall of Vapor","Wall of Vapor"
"Wall of Wonder","Wall of Wonder"
"Whirling Dervish","Whirling Dervish"
"White Mana Battery","White Mana Battery"
"Willow Satyr","Willow Satyr"
"Winds of Change","Winds of Change"
"Winter Blast","Winter Blast"
"Wolverine Pack","Wolverine Pack"
"Wood Elemental","Wood Elemental"
"Xira Arien","Xira Arien"
"Zephyr Falcon","Zephyr Falcon"
"Amnesia","Amnesia"
"Angry Mob","Angry Mob"
